"The White Crow","SPC",1605310,365,"4/26/2019", 2019, "https://m.media-amazon.com/images/M/MV5BNGIwMjFmMGQtZjYxNC00NmJjLTlkM2QtMWMyZTA3YjZhNzBlXkEyXkFqcGdeQXVyOTgxNDIzMTY@._V1_UY222_CR0,0,150,222_AL.jpg", "Drama", 127, "R", N/A
"Extreme Job","CJ",1565885,26,"1/25/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMzdhN2MwNzktYWRiMS00NDAyLTgzYzItMWJjN2Y1MWRiYTA1XkEyXkFqcGdeQXVyNDIzMTI4NDE@._V1_UY222_CR0,0,150,222_AL.jpg", "Comedy", 111, "Unrated", N/A
"Red Joan","IFC",1509562,195,"4/19/2019", 2019, "https://m.media-amazon.com/images/M/MV5BOTBhMDZjZmQtNmJjYS00OWI0LTkxM2ItN2ExZTc3NzkxZmJlXkEyXkFqcGdeQXVyODY3Nzc0OTk@._V1_UY222_CR0,0,150,222_AL.jpg", "Drama", 110, "R", N/A
"The Kid (2019)","LGF",1508593,268,"3/8/2019", 2019, "https://m.media-amazon.com/images/M/MV5BNTI0NzQxOTMwOF5BMl5BanBnXkFtZTgwMjAxMzg0NzM@._V1_UY222_CR0,0,150,222_AL.jpg", "Action Drama", 100, "R", N/A
"El Chicano","Briarcliff",1400603,605,"5/3/2019", 2019, "https://m.media-amazon.com/images/M/MV5BYzkyNDJhNDYtODkzMC00NjVmLWI1OWItOWI4ODQwMzZiMWYyXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_UY222_CR0,0,150,222_AL.jpg", "Drama", 107, "R", N/A
"The Pilgrim's Progress","Fathom",1294596,758,"4/18/2019", 2019, "https://m.media-amazon.com/images/M/MV5BZjE4YzhjZjQtOTI3NC00M2IzLWFkNjItNDVjNzU3ODIxNmExXkEyXkFqcGdeQXVyMjIyMjYzNjk@._V1_UY222_CR0,0,150,222_AL.jpg", "Animation", 108, "Unrated", N/A
"Asterix: The Secret of the Magic Potion","EOne",1271953,76,"2/15/2019", 2019, "https://m.media-amazon.com/images/M/MV5BZDUyNzhjMTAtNGI5OC00MjYzLWFlNDUtMTQzYTdhZjliMDk0XkEyXkFqcGdeQXVyNTc5OTMwOTQ@._V1_UY222_CR0,0,150,222_AL.jpg", "Animation", 85, "Unrated", N/A
"High Life","A24",1225852,146,"4/5/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMDNjN2NjYmItMjAyZi00NmNkLWJmYTQtYzcwZGRiM2RmNGNlXkEyXkFqcGdeQXVyODUxNjcxNjE@._V1_UY222_CR0,0,150,222_AL.jpg", "Sci-Fi Thriller", 113, "R", N/A
"Kingdom Men Rising","Fathom",1188936,705,"4/29/2019", 2019, "https://m.media-amazon.com/images/M/MV5BZWUyMzQxNDMtYmY3OC00YzI5LTk3MzAtZjMxNWUyMTc2ZGZkXkEyXkFqcGdeQXVyNTA0NTQ4MTg@._V1_UY222_CR0,0,150,222_AL.jpg", "Documentary", 100, "Unrated", N/A
"Los Domirrique�os 2","Spanglish",1187280,82,"3/14/2019", 2019, "https://m.media-amazon.com/images/M/MV5BMGRiNTJlMWMtNWZlOC00M2U1LWJlZWQtYTk2ZTk0NWQ5NDdhXkEyXkFqcGdeQXVyNDcyMzkyMTQ@._V1_UY222_CR0,0,150,222_AL.jpg", "Sports Comedy", 107, "Unrated", N/A
"Ek Ladki Ko Dekha Toh Aisa Laga","FIP",1182636,193,"2/1/2019", 2019, "https://m.media-amazon.com/images/M/MV5BZTNlY2YyOGYtZWFhYy00MDc3LTliYzMtZTUyYzVlNjQxZGRjXkEyXkFqcGdeQXVyNjE1OTQ0NjA@._V1_UY222_CR0,0,150,222_AL.jpg", "Comedy / Drama", 120, "Unrated", N/A
